Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
29,0,0,0
40,0,1,0
44,1,1,0
30,0,3,0
39,0,3,0
42,2,0,2
35,2,0,0
39,2,0,0
28,0,1,0
37,0,5,0
43,2,2,0
44,0,5,1
40,1,0,0
30,2,0,0
39,1,1,0
30,6,9,3
40,1,4,0
26,1,1,0
41,2,1,1
50,1,1,0
30,1,1,0
41,4,2,0
39,1,2,0
35,1,3,0
43,1,0,0
49,1,1,0
53,3,2,0
37,2,3,1
53,0,1,0
41,0,8,0
39,0,3,0
43,0,1,0
34,0,4,0
38,1,1,0
40,1,1,0
42,1,1,0
47,4,2,0
34,1,1,0
32,1,1,0
41,0,1,0
33,0,1,0
41,1,2,1
36,0,0,0
49,0,1,0
37,0,0,1
44,0,1,0
38,0,0,0
34,1,2,0
23,1,5,1
38,1,1,0
40,1,0,1
40,0,1,0
35,2,0,0
42,0,0,1
34,3,5,1
41,2,1,0
42,0,1,0
33,2,1,0
48,2,2,1
37,1,0,0
47,2,2,1
45,2,2,0
45,0,0,0
33,1,1,0
27,1,2,0
28,1,2,0
37,3,2,1
44,1,0,0
46,1,3,0
36,3,3,0
40,0,0,0
34,1,0,0
31,2,0,0
44,1,1,0
41,0,1,0
40,0,1,0
29,1,0,1
35,4,0,1
37,0,1,0
36,2,1,0
30,2,1,0
38,1,0,0
46,1,0,1
44,3,1,0
56,1,1,0
46,0,2,0
31,0,0,1
34,0,4,0
34,2,1,0
20,4,0,2
38,2,7,0
29,0,1,0
23,0,3,0
29,1,1,0
35,4,0,1
36,2,1,2
36,1,1,0
32,1,3,0
40,0,2,0
36,0,0,0
46,0,3,0
31,1,2,0
40,0,1,1
34,0,0,1
34,0,0,0
41,1,2,1
32,0,2,0
38,2,1,1
44,1,1,0
29,1,1,0
48,1,0,0
38,2,0,0
31,5,6,1
29,1,5,3
45,1,0,0
32,0,2,0
53,1,0,0
45,0,2,0
49,2,1,0
33,0,2,1
37,1,1,1
42,1,0,0
25,0,0,0
42,1,1,0
44,1,2,1
41,1,2,2
35,1,1,0
43,0,0,0
39,1,0,0
43,0,1,1
37,3,0,0
40,0,2,0
32,0,2,1
29,1,0,0
44,2,1,0
34,1,0,0
40,0,0,0
41,0,1,0
29,2,2,0
23,0,6,0
35,1,0,0
45,1,1,0
37,1,0,1
32,1,3,0
39,0,0,0
35,1,0,0
39,2,5,0
42,0,1,0
38,1,1,0
35,2,0,0
29,0,0,1
21,2,1,0
27,3,3,0
42,0,3,0
29,1,0,0
32,6,0,2
44,0,1,1
37,1,1,0
37,1,1,0
48,0,3,0
29,2,4,0
36,0,1,1
25,3,0,0
45,0,2,1
27,0,4,0
36,0,1,0
41,0,1,0
34,0,0,0
35,1,0,0
50,1,0,0
42,3,0,2
33,1,0,0
37,1,0,0
45,1,1,0
38,1,0,0
32,0,1,0
44,0,1,0
28,0,1,0
36,1,0,0
34,0,0,0
39,0,0,0
42,0,3,0
34,2,8,0
30,1,0,0
35,2,4,0
55,0,4,0
37,2,0,0
33,1,4,1
38,4,2,0
28,0,0,0
43,0,0,0
36,3,0,0
22,0,2,0
41,0,0,0
39,0,0,0
33,0,3,0
40,2,1,0
47,1,1,0
39,1,4,1
39,2,1,1
33,1,2,0
43,0,2,0
42,0,0,0
31,0,2,0
35,1,1,0
36,1,1,0
41,1,1,0
36,1,1,0
36,1,0,0
35,0,1,0
40,0,0,0
27,4,3,1
37,3,1,0
39,0,1,0
27,0,0,0
50,0,1,0
35,1,0,0
48,1,4,1
35,1,4,1
36,0,0,0
33,0,2,0
45,3,2,1
45,0,1,0
36,0,1,0
38,0,4,0
36,0,0,0
37,0,0,0
35,2,1,0
40,2,0,1
32,1,2,0
40,2,3,0
40,2,0,1
32,1,0,0
34,2,5,1
45,1,1,0
29,0,2,0
35,0,4,0
31,5,2,0
36,1,7,0
33,1,2,0
29,1,0,0
35,1,0,0
44,2,1,2
42,2,4,0
37,1,1,0
42,4,0,1
32,6,6,1
31,4,5,0
32,2,3,1
47,5,1,0
32,1,2,0
38,2,1,1
37,3,1,0
43,0,0,0
37,0,2,0
43,2,1,0
39,3,3,1
34,0,0,0
39,1,2,0
31,0,0,1
52,0,0,0
34,1,0,0
35,1,1,0
33,1,1,0
34,1,0,0
39,1,1,0
35,4,1,0
40,0,0,0
49,3,1,0
40,1,2,0
39,0,1,0
33,2,0,0
40,0,3,0
37,1,1,0
40,0,0,0
38,1,4,0
45,1,1,0
33,2,1,0
28,0,0,0
46,0,1,0
38,1,1,0
31,3,2,0
27,3,0,0
33,2,0,0
38,0,0,0
37,1,0,0
47,0,1,0
30,2,4,0
28,0,1,0
41,1,1,0
40,1,0,0
43,3,0,1
24,1,4,0
35,1,1,0
41,2,1,0
35,1,1,0
32,0,0,0
33,2,3,0
40,0,2,0
42,0,1,0
37,2,2,0
49,1,0,0
43,1,1,0
41,0,3,0
44,0,0,0
47,0,0,0
39,3,2,2
39,8,4,0
33,0,2,0
32,0,0,0
37,1,2,0
31,1,0,0
32,1,0,0
44,0,1,0
42,0,0,0
31,4,0,0
43,1,1,0
35,1,1,0
34,1,4,0
33,0,7,1
42,1,4,0
32,0,3,0
29,1,1,0
32,2,2,0
24,0,1,0
42,2,0,0
35,2,1,1
20,0,5,0
40,0,1,0
46,0,2,0
44,0,0,0
36,1,1,0
30,1,2,0
37,0,2,0
39,1,2,1
35,0,1,0
36,0,1,0
52,0,1,0
43,0,0,0
34,0,0,2
44,1,1,0
40,3,2,1
29,0,0,0
37,0,1,0
35,0,3,0
38,0,1,0
40,1,0,0
42,0,1,0
43,0,1,0
39,1,1,0
37,0,3,0
34,0,0,0
42,0,1,0
28,1,1,0
51,1,0,0
40,0,4,0
49,0,0,0
24,1,0,1
34,1,1,0
44,0,0,0
39,2,0,0
43,0,0,0
34,0,1,0
23,0,1,1
26,1,1,0
31,2,2,0
34,4,0,0
35,0,1,0
36,0,1,0
39,1,1,0
46,1,3,0
34,0,0,0
38,0,0,0
42,0,1,1
33,2,2,1
36,1,1,0
40,2,0,0
39,1,4,0
26,1,1,0
38,1,3,0
40,0,0,0
45,0,0,0
50,0,1,0
36,2,2,0
46,0,0,0
34,3,2,0
38,1,1,0
33,0,4,0
34,1,2,0
40,2,0,0
38,0,1,0
37,0,1,0
45,4,2,0
31,1,2,1
32,0,0,0
30,0,2,0
35,3,1,0
34,1,2,0
36,1,1,0
33,0,0,0
41,0,5,0
35,0,2,0
39,2,2,0
45,0,1,0
39,2,2,0
36,0,2,0
34,1,1,0
42,1,0,0
29,3,3,2
29,1,2,0
35,1,1,0
39,0,1,0
41,0,0,0
30,1,1,1
41,0,0,1
35,0,0,0
27,0,0,0
42,1,0,0
36,0,4,0
33,1,2,0
31,0,1,0
43,1,0,0
41,2,2,0
36,0,2,0
42,1,2,0
37,0,2,0
43,0,0,0
34,0,2,0
32,2,1,0
51,0,1,0
36,0,1,0
33,2,1,0
29,2,3,0
36,0,1,0
36,3,4,0
33,4,1,0
38,3,1,0
34,0,1,0
41,1,0,0
40,0,1,0
27,0,1,0
48,1,0,0
35,0,4,0
43,0,0,0
36,1,1,0
32,0,0,0
42,0,2,1
41,2,0,0
48,1,1,0
32,1,0,0
48,1,1,0
37,1,3,0
35,1,1,0
46,1,1,0
39,4,3,1
53,1,2,1
38,0,1,0
36,0,0,0
27,0,0,0
30,1,1,0
43,1,1,1
23,2,1,0
31,2,0,0
42,1,1,3
31,0,1,0
37,0,1,0
41,2,1,0
39,0,3,1
37,2,1,0
36,0,1,0
33,2,1,0
44,3,2,0
42,1,0,0
39,1,1,0
33,1,1,0
35,0,0,0
38,3,3,1
36,1,3,0
43,2,3,1
28,1,2,0
42,1,2,1
48,0,0,0
39,2,2,0
45,0,1,0
36,1,1,0
37,2,1,0
37,0,2,0
38,0,0,0
39,0,3,0
30,1,0,0
36,0,2,0
40,0,1,0
37,1,0,0
48,1,0,0
49,0,0,0
34,1,1,0
32,2,2,0
33,1,0,0
20,3,1,0
38,3,2,0
35,0,2,0
42,1,1,0
44,1,0,0
38,2,2,0
40,0,1,0
25,3,5,1
35,0,1,2
46,0,1,0
42,1,0,0
33,0,1,1
53,0,0,0
50,0,0,0
36,0,1,0
34,0,2,0
35,0,1,0
42,1,0,0
29,0,0,0
23,3,1,1
30,0,3,0
30,1,0,0
36,4,1,0
48,5,7,1
43,0,2,0
34,1,0,0
35,6,6,1
39,1,3,0
42,1,3,0
46,0,3,0
29,1,1,1
40,0,2,0
44,0,2,1
29,1,2,0
41,0,3,0
39,3,0,0
32,0,0,0
32,1,1,0
36,1,1,2
34,0,1,0
31,0,1,0
34,1,2,0
36,0,3,1
42,0,0,0
43,0,2,0
30,4,2,1
43,2,3,0
34,1,0,0
32,0,1,0
34,2,1,1
30,1,2,0
45,2,3,3
40,0,0,0
46,1,2,0
48,1,1,0
41,0,1,0
36,2,0,0
47,0,2,0
36,2,1,1
48,0,0,0
40,0,0,0
42,0,1,0
34,1,0,0
38,0,2,0
40,0,3,0
32,3,0,1
37,1,0,0
44,2,1,0
34,3,2,0
37,0,3,0
28,0,1,0
36,1,1,0
44,2,0,0
31,0,0,0
48,0,1,0
40,0,0,0
30,0,0,0
30,1,2,0
33,0,1,0
32,1,2,0
34,0,2,0
42,1,1,0
38,1,0,0
42,1,1,0
40,0,2,0
50,1,3,0
39,1,1,0
26,1,1,0
30,0,5,0
41,2,1,0
33,1,2,0
39,0,0,0
28,3,2,0
35,0,0,0
43,0,0,0
34,1,2,0
44,0,1,0
35,0,0,0
33,7,1,0
37,0,0,0
31,1,2,0
35,0,2,0
30,0,3,0
42,0,1,0
34,2,2,0
31,2,1,0
40,0,1,0
46,0,0,0
48,2,1,0
38,0,1,0
36,4,0,0
40,2,1,1
31,1,3,0
27,2,4,1
33,0,2,0
34,2,1,1
33,0,2,0
43,1,2,0
35,2,1,0
34,0,0,0
32,2,2,1
37,0,1,0
28,1,1,2
32,0,1,0
24,0,0,0
38,1,1,0
42,3,1,0
29,1,1,0
36,0,1,1
46,0,3,1
48,2,0,0
36,0,1,0
49,1,1,0
36,2,0,0
29,0,3,0
41,1,1,1
36,1,0,0
31,0,0,0
40,0,1,0
37,3,2,0
38,0,1,0
24,0,1,0
39,5,5,1
38,1,1,0
28,1,1,0
43,0,3,0
32,1,0,0
37,0,0,0
38,3,1,1
43,1,1,0
37,1,3,0
34,1,0,0
35,1,0,3
36,0,0,0
41,0,0,0
39,0,0,1
31,2,2,0
51,0,2,0
35,4,1,0
28,0,4,4
35,1,2,0
32,1,2,0
48,0,1,0
31,1,0,1
26,4,6,2
38,1,1,0
47,0,3,0
39,1,0,0
43,1,0,0
35,2,5,0
44,1,0,0
39,0,1,0
40,1,0,0
38,1,0,0
39,2,1,1
35,0,1,0
31,0,0,0
37,2,2,0
36,0,0,1
36,0,0,0
37,2,2,0
31,2,0,0
41,1,3,0
26,1,1,0
47,2,0,0
35,0,1,0
37,0,0,0
37,0,0,0
40,3,0,0
38,1,4,0
37,0,10,0
34,0,0,0
36,0,0,0
44,3,2,0
43,0,1,0
39,0,1,0
41,2,1,0
33,1,6,1
34,5,1,0
50,0,1,0
27,0,1,0
32,2,5,2
36,1,0,0
39,3,1,1
39,3,0,1
37,2,6,0
45,1,0,0
29,0,2,0
37,2,4,0
37,1,0,0
36,2,1,0
45,2,3,0
40,1,2,0
42,1,3,1
52,2,1,0
41,0,2,0
38,0,3,0
32,1,1,0
35,0,1,0
28,3,2,1
35,2,4,1
46,0,1,0
35,2,6,0
41,1,0,0
51,2,2,0
47,2,1,0
32,3,0,0
32,0,0,0
43,0,1,0
53,1,3,1
41,4,0,0
43,0,1,0
47,0,0,0
38,0,1,0
35,0,0,0
37,0,2,0
33,1,1,0
43,0,0,0
46,1,0,0
43,0,7,0
29,4,2,0
38,1,0,1
35,0,2,0
36,1,4,1
41,1,4,0
28,0,1,0
41,0,0,0
38,0,1,0
26,0,2,0
38,1,0,0
51,2,1,1
48,0,1,0
34,0,6,0
32,2,5,0
53,0,2,0
46,0,0,0
36,0,1,0
45,0,2,0
31,2,2,0
42,0,0,0
38,0,1,0
36,0,0,0
39,2,0,0
38,0,2,0
31,1,1,0
38,1,1,0
43,1,0,1
31,0,1,0
38,0,4,1
38,2,3,0
33,2,2,1
42,0,1,0
39,1,0,0
44,0,2,0
37,0,2,0
41,0,2,0
31,3,4,0
33,0,1,1
42,1,2,1
40,6,1,1
38,0,1,0
32,0,0,0
32,1,1,0
34,2,0,0
42,1,0,0
31,0,0,0
37,2,0,1
47,0,0,0
46,0,1,1
36,1,3,0
35,2,1,0
47,1,1,0
37,0,0,0
30,2,0,0
25,1,0,0
36,0,2,1
39,2,1,0
40,1,2,0
41,0,1,0
27,1,4,0
42,2,0,0
34,1,1,0
37,1,1,0
42,1,1,1
38,1,1,0
40,0,0,1
40,0,1,0
38,0,5,0
39,1,0,0
39,0,0,0
28,3,3,1
30,1,0,0
50,0,2,0
32,0,3,1
27,1,2,0
32,2,1,0
36,3,3,0
32,0,1,0
44,0,0,0
28,0,5,1
36,0,1,0
49,0,1,0
39,1,8,0
46,0,2,0
38,0,3,0
52,0,1,0
58,2,3,0
40,3,1,0
36,2,7,0
30,1,1,0
47,1,1,0
31,0,2,0
42,3,1,0
46,1,0,0
40,0,1,0
38,0,1,0
30,1,0,0
27,1,5,2
33,2,1,0
36,0,1,1
35,1,1,0
30,0,1,0
31,0,1,0
55,0,1,0
28,2,0,0
30,1,2,2
37,1,1,0
42,0,0,0
32,0,0,0
30,0,6,0
33,2,0,0
32,0,0,0
47,1,4,0
37,2,0,0
50,2,0,0
41,0,2,0
43,1,0,2
26,0,2,0
38,1,1,0
31,2,1,0
22,2,2,1
31,2,3,0
35,2,4,1
45,1,11,2
50,1,1,0
35,0,4,0
38,0,1,0
43,1,1,0
39,1,1,0
41,0,0,0
44,1,0,0
41,0,0,0
42,0,2,0
29,1,1,1
34,2,4,1
37,0,2,0
33,1,1,1
30,1,0,0
31,0,1,0
40,0,3,1
52,0,5,1
36,2,1,0
39,0,0,0
32,0,2,0
38,2,4,0
39,1,0,0
50,0,2,1
37,0,3,1
33,4,0,0
47,1,1,1
30,1,1,0
34,2,4,0
46,0,0,0
48,3,2,0
36,0,4,0
39,1,1,0
33,2,0,0
29,0,0,0
25,1,1,0
40,1,2,0
36,2,1,1
26,0,0,0
38,3,0,0
45,1,0,0
28,1,0,0
40,3,1,0
36,1,3,0
39,1,3,0
33,2,0,0
37,4,3,0
36,1,0,0
29,1,2,0
37,1,0,0
43,0,1,0
39,0,1,0
23,1,2,0
36,0,2,0
30,0,3,0
35,1,1,0
42,0,0,0
38,1,2,0
38,0,2,0
37,0,1,0
43,0,1,0
38,0,1,0
31,0,0,0
39,1,3,0
27,1,1,0
35,1,1,1
43,0,1,0
35,0,0,0
42,0,2,0
32,0,2,0
39,2,0,0
42,0,1,1
32,0,1,0
38,0,1,0
32,3,2,1
35,0,1,0
34,1,0,0
45,1,2,0
39,1,0,0
41,0,0,0
35,1,0,0
33,0,1,0
39,0,0,0
38,1,0,0
37,0,0,0
27,2,0,0
47,0,1,0
42,0,2,0
34,1,1,0
40,1,2,0
43,0,0,0
44,0,1,0
37,0,0,0
34,2,2,0
34,0,1,0
38,1,1,0
36,0,1,0
31,4,5,2
39,4,0,0
41,2,0,1
30,4,4,0
55,3,1,1
29,0,2,0
31,1,1,0
31,0,0,0
33,1,1,0
39,1,4,0
48,1,0,0
32,1,1,2
44,1,1,0
43,6,0,0
50,0,0,0
43,0,1,0
38,1,2,0
37,1,0,0
38,2,3,0
42,0,2,0
29,2,0,0
29,0,1,0
37,3,1,0
32,1,3,0
42,1,1,0
45,1,2,0
33,2,1,0
38,0,4,0
42,2,10,1
39,2,2,0
49,2,2,0
36,2,0,0
33,0,0,0
37,2,2,0
27,0,0,0
37,1,0,0
39,0,1,1
38,3,1,0
30,1,4,0
39,0,2,0
46,0,6,1
37,0,1,0
39,0,0,0
36,0,0,1
44,0,0,0
35,4,0,0
48,1,1,0
32,5,5,1
40,0,3,0
45,1,0,0
32,1,1,0
32,0,1,0
42,0,0,0
44,2,1,0
38,1,0,0
27,0,0,0
35,3,3,0
36,0,4,0
33,1,4,0
34,5,0,0
41,0,0,0
32,0,1,0
31,1,2,0
33,0,1,0
32,0,0,0
38,0,1,0
36,0,0,1
45,1,0,0
32,2,1,0
33,1,0,0
33,1,1,0
43,0,1,0
43,0,1,1
30,1,0,1
34,1,1,0
35,1,0,0
39,2,0,0
37,0,2,0
38,0,1,0
50,1,0,2
50,1,0,1
36,0,2,0
37,0,1,0
25,3,1,2
35,0,2,0
28,1,0,0
40,0,2,0
45,1,0,0
26,1,0,1
38,1,0,0
45,0,0,0
32,0,0,0
32,2,2,0
35,3,1,0
48,0,3,0
40,0,0,0
39,0,0,0
47,0,1,0
35,0,5,1
34,0,3,0
42,0,1,0
44,1,0,0
32,0,5,1
41,1,0,0
31,1,10,1
38,0,2,0
44,0,1,0
35,1,0,1
38,2,1,0
28,5,1,0
49,0,3,0
28,1,0,0
29,0,1,0
40,1,0,1
37,1,5,2
41,1,1,0
30,2,1,0
35,1,0,0
37,1,7,0
38,0,1,0
48,3,1,0
38,0,4,0
39,0,1,0
38,2,1,0
31,3,3,1
50,0,1,1
29,0,5,1
38,1,0,0
30,0,0,0
28,0,1,0
41,0,1,0
34,0,0,0
44,3,2,1
44,1,0,0
43,1,1,0
42,1,0,0
29,3,0,0
33,1,0,0
37,1,1,0
45,1,2,0
44,2,2,0
33,0,1,0
31,1,4,1
39,0,3,0
40,2,3,0
35,1,0,0
44,0,2,0
40,0,0,0
28,0,0,0
34,4,0,0
50,0,1,0
37,0,1,0
42,2,1,0
45,0,2,1
30,6,6,1
23,1,7,0
40,0,2,1
39,0,2,1
35,1,1,1
37,4,2,0
36,4,4,1
45,0,0,0
34,1,2,0
31,1,1,0
27,0,2,2
33,1,2,0
44,1,1,0
30,3,5,3
36,1,1,0
48,3,2,0
48,1,1,0
40,1,0,0
44,0,0,0
45,1,0,0
39,0,0,0
39,0,2,0
28,0,0,0
51,1,1,0
40,3,2,1
31,1,3,0
47,0,1,0
37,3,0,0
41,1,2,0
35,1,1,0
25,0,6,0
37,0,0,0
36,0,2,0
30,0,0,0
47,0,1,0
37,0,0,0
32,1,0,0
48,1,1,0
41,2,1,0
42,0,2,0
39,1,1,0
37,3,0,0
35,2,2,0
41,0,2,1
35,2,5,0
30,0,0,0
42,1,1,0
32,0,0,0
31,3,1,0
31,1,2,0
52,1,1,0
35,1,2,0
32,3,4,3
33,0,1,0
42,1,1,0
39,2,1,0
46,2,0,0
39,1,1,0
34,0,0,0
37,0,2,0
35,1,1,0
34,1,0,0
38,0,1,0
34,1,0,0
28,0,1,0
42,0,1,0
38,0,1,0
37,0,2,0
46,0,0,0
38,1,1,0
52,0,4,0
32,1,2,0
33,1,0,1
36,2,1,0
39,0,0,0
30,0,2,0
46,2,1,0
38,1,0,0
32,1,1,0
46,1,1,0
35,1,0,0
33,0,7,0
30,2,9,1
46,0,1,0
36,0,0,0
41,1,1,0
41,0,0,0
35,2,0,0
34,0,1,0
41,3,0,0
36,2,4,0
40,0,2,0
34,0,1,0
30,3,1,0
33,0,0,0
42,0,0,0
42,0,2,0
41,4,0,0
49,0,2,1
35,1,2,0
52,0,2,0
40,0,1,0
34,0,0,1
45,1,2,0
32,1,0,0
39,2,1,0
28,0,0,0
29,0,1,0
43,1,2,0
38,0,0,0
34,2,0,0
45,0,4,0
43,1,1,0
43,2,0,0
27,0,2,0
36,0,3,0
36,0,1,0
40,1,2,0
46,0,0,0
33,1,3,0
51,1,2,0
40,0,0,0
37,2,1,0
31,3,0,1
43,2,0,0
30,0,0,0
39,0,1,0
36,0,1,0
38,3,5,1
38,0,0,1
36,0,0,0
34,1,1,0
48,3,0,0
37,1,2,0
41,0,0,0
42,1,1,0
36,2,2,0
34,5,7,3
46,1,0,0
36,1,1,0
29,1,3,1
41,1,0,0
44,0,1,1
29,1,4,1
30,0,8,1
47,0,1,0
31,1,2,0
38,0,0,0
39,0,1,0
44,0,0,0
33,0,1,0
34,1,1,0
37,0,2,0
46,0,1,1
31,1,0,1
31,0,1,0
37,3,0,1
43,3,1,0
30,1,1,0
33,0,1,0
35,3,2,0
31,5,1,1
46,1,2,0
32,2,0,0
26,1,3,0
40,0,1,0
37,1,0,0
32,0,2,0
37,0,3,0
28,0,1,0
34,3,1,0
34,0,1,0
27,1,3,0
37,0,3,1
36,0,2,0
30,4,0,1
33,1,4,3
38,0,3,0
36,0,4,0
35,2,2,0
37,0,2,0
48,2,0,0
39,1,1,0
46,3,0,0
34,1,2,0
29,1,1,0
31,1,0,0
41,0,2,0
46,1,0,0
44,0,1,1
43,0,1,0
31,0,2,0
36,0,0,0
33,0,0,0
40,1,6,1
39,0,4,0
42,0,0,0
28,4,2,0
43,0,2,0
38,2,7,0
43,0,4,0
43,0,2,0
37,0,2,1
35,6,0,0
24,2,7,2
38,1,0,0
33,0,1,0
32,2,1,0
40,0,1,0
50,1,0,0
54,0,1,0
44,0,4,0
54,1,2,0
30,0,2,1
31,0,1,0
32,1,6,1
35,1,3,1
46,2,0,0
41,1,2,0
31,0,3,0
42,2,3,0
39,1,0,0
26,1,2,0
39,1,0,0
37,2,2,0
29,3,2,1
28,1,0,0
46,1,1,0
54,1,2,0
33,0,3,0
37,1,2,0
38,1,1,1
51,1,2,0
40,0,1,0
45,1,0,0
28,2,0,0
34,1,2,0
43,3,1,0
35,0,0,0
23,3,0,0
30,1,0,0
36,0,1,0
47,2,4,0
40,1,0,1
45,0,1,0
39,0,0,0
39,0,3,0
25,0,2,0
32,0,3,0
36,0,1,0
32,0,3,0
33,1,0,0
48,1,1,0
35,0,3,0
31,1,3,0
38,0,0,0
35,1,1,0
31,0,0,1
27,2,5,0
39,1,1,1
33,0,0,1
38,0,0,0
44,0,1,0
37,3,2,1
24,1,2,0
35,2,0,1
33,1,1,0
29,3,3,0
41,3,0,0
40,1,2,0
44,2,1,0
34,1,13,1
38,3,1,0
45,5,1,0
45,2,0,0
40,0,2,0
38,0,0,2
49,3,2,1
45,3,0,0
40,0,0,1
32,0,2,0
33,2,0,0
40,0,0,1
38,0,1,0
37,0,1,0
49,1,5,1
43,3,2,1
39,1,2,1
38,0,2,0
41,1,1,0
35,0,2,0
41,0,0,0
47,2,0,0
36,0,1,0
35,1,1,0
31,4,3,1
29,1,1,0
37,1,0,1
38,0,0,0
31,1,0,0
46,0,1,0
55,0,0,0
32,2,1,0
28,0,2,0
43,0,3,0
30,1,2,1
36,2,0,0
38,2,3,0
38,2,2,0
26,1,0,1
33,4,1,0
34,1,1,3
28,5,0,0
39,3,2,0
35,3,3,0
42,0,1,0
31,5,0,0
35,2,7,1
40,1,0,0
40,1,3,0
32,0,2,0
35,2,0,0
48,0,5,0
52,1,0,1
40,2,0,1
45,0,1,0
41,1,2,0
43,0,0,0
45,5,1,0
44,2,0,0
30,0,1,0
42,1,1,0
42,0,2,0
43,0,2,0
34,2,4,0
43,0,0,0
33,0,0,0
29,3,1,1
33,0,1,0
34,0,2,0
39,2,2,2
34,3,1,0
32,1,1,0
26,1,1,0
28,4,0,0
33,0,2,0
40,0,3,1
42,0,0,0
32,4,6,0
37,0,1,0
46,0,0,0
35,1,2,0
36,0,0,0
35,2,1,0
40,3,0,0
30,0,1,0
39,1,0,0
37,2,0,0
44,0,2,0
33,0,1,0
35,1,2,0
39,0,0,0
27,0,1,0
36,0,0,0
46,1,1,0
23,0,1,0
37,1,0,1
29,0,1,0
37,0,1,0
40,0,2,0
37,1,5,0
35,1,0,1
39,0,1,0
42,1,2,0
39,1,2,0
36,0,1,0
36,1,1,0
47,0,2,0
29,1,0,0
29,1,1,0
36,0,0,0
44,2,3,0
28,0,2,0
35,0,0,0
34,0,4,0
34,0,5,1
42,1,3,0
37,0,0,0
24,2,0,0
49,0,3,1
30,1,3,3
25,1,1,0
33,2,0,0
29,0,2,0
38,0,2,1
43,1,0,1
30,3,1,0
38,4,3,0
40,0,0,0
43,0,0,0
37,2,1,0
45,2,0,0
32,0,1,0
29,1,2,0
30,2,0,0
32,1,0,0
32,0,0,0
32,0,2,0
22,1,2,0
24,6,3,1
29,1,4,0
32,2,0,0
40,1,0,0
40,0,1,0
54,2,1,1
43,0,0,0
35,0,2,0
34,0,1,2
44,0,0,0
48,0,2,0
61,1,4,0
33,0,2,1
39,1,0,0
35,1,0,0
40,0,1,0
42,0,1,0
34,3,2,0
32,3,2,1
