Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
43,2,2,1
32,0,1,0
45,2,0,1
38,5,1,0
37,0,4,1
43,2,1,2
38,0,2,1
31,0,0,0
28,5,0,1
30,3,1,3
32,0,0,0
52,1,0,0
29,7,1,1
32,4,2,0
38,0,0,2
50,0,1,0
31,4,0,1
35,2,2,0
31,2,1,1
32,2,0,1
40,2,0,0
25,2,1,2
29,1,1,1
35,0,0,1
36,1,0,0
40,3,0,0
38,0,0,0
40,0,1,0
37,5,1,1
34,1,0,1
40,1,2,0
39,0,0,3
31,5,0,1
50,0,3,0
32,1,0,0
45,2,0,0
41,4,3,1
31,0,0,1
38,0,1,0
34,1,0,1
32,2,0,1
43,2,7,0
37,0,1,0
31,1,0,1
35,1,1,2
30,2,0,1
28,0,2,2
37,3,1,0
33,0,0,0
40,1,4,2
36,1,1,0
46,0,0,0
37,2,0,0
41,1,1,0
41,1,2,0
31,1,0,0
42,0,0,0
27,2,3,0
37,1,2,0
34,1,0,0
41,3,1,0
46,0,1,0
41,0,1,0
36,7,1,2
46,1,0,0
39,2,0,0
35,1,0,0
34,0,4,0
26,1,0,1
30,4,3,1
37,1,0,0
30,4,2,3
26,3,0,1
41,10,0,3
31,1,3,0
38,1,1,0
38,1,0,2
34,0,0,0
38,1,0,0
40,1,0,0
33,2,0,0
27,1,1,0
35,3,1,0
27,6,3,1
33,0,1,0
33,7,0,1
36,0,0,0
39,3,0,0
28,3,1,0
34,4,0,1
37,7,1,0
38,2,0,1
35,1,0,0
47,1,0,0
31,1,2,0
23,0,1,1
43,0,1,0
40,5,0,1
26,0,1,1
35,3,3,0
42,1,2,0
36,0,2,0
26,4,0,0
34,0,0,1
39,1,2,0
37,0,0,0
46,2,0,0
32,0,0,0
32,5,1,2
27,7,0,0
35,8,4,1
29,1,4,1
40,3,2,0
32,1,1,0
36,0,2,1
35,2,0,1
29,1,2,2
35,3,4,2
31,2,1,0
51,1,2,0
29,3,0,1
39,1,0,1
28,2,0,1
51,2,0,1
38,2,0,1
36,2,1,0
42,1,2,0
45,1,0,0
30,0,2,0
37,2,2,1
31,1,0,0
30,2,0,0
45,1,0,0
37,6,0,1
30,1,1,1
46,2,0,1
30,4,1,1
37,0,1,2
44,2,1,1
34,1,2,2
36,2,1,0
31,1,3,0
30,1,2,0
28,0,1,1
41,1,1,0
30,1,0,0
37,5,0,2
29,5,4,2
39,1,1,0
31,3,0,0
37,2,1,0
38,1,1,0
35,3,0,0
29,2,0,0
33,4,2,2
37,2,3,0
34,0,0,0
56,1,2,1
40,3,2,1
36,1,0,0
43,0,0,0
34,6,2,2
39,1,0,1
34,2,4,2
30,12,1,1
34,2,0,1
25,2,1,1
38,0,0,1
44,0,1,1
28,3,2,1
36,5,0,0
34,0,0,1
43,1,0,0
27,1,1,2
41,0,0,0
46,1,1,0
45,3,3,2
45,3,3,0
28,6,1,0
45,1,1,0
38,0,3,1
36,3,0,0
30,6,1,0
31,0,3,1
44,6,2,0
48,2,3,0
32,1,0,0
41,1,0,0
48,2,0,0
37,2,0,0
30,1,0,0
30,1,2,0
44,0,0,0
32,2,2,4
48,1,1,0
36,1,1,0
36,2,0,0
44,1,3,1
38,1,0,0
37,4,1,1
43,1,0,0
30,1,0,0
33,6,2,2
38,0,1,0
39,5,0,1
49,2,0,0
34,0,1,1
35,1,0,0
48,3,1,0
40,2,2,0
39,2,1,0
29,2,3,0
38,3,0,0
35,3,2,0
26,1,1,1
47,0,1,0
33,6,0,0
30,2,4,3
42,0,0,0
39,2,1,2
38,6,1,0
36,1,1,0
36,9,1,2
38,6,1,0
35,1,1,0
33,1,0,0
31,1,1,4
42,0,1,1
32,2,2,0
26,2,0,1
43,0,0,1
33,1,0,0
27,1,1,0
43,4,2,1
42,1,1,0
39,8,2,0
33,0,1,1
35,0,0,0
31,2,2,0
50,0,1,0
39,0,1,1
38,1,0,0
41,2,0,0
33,0,0,1
43,3,1,0
27,6,0,0
39,1,2,0
24,2,4,1
40,5,0,0
36,3,0,0
38,1,1,0
26,4,1,2
34,3,1,0
40,2,2,2
28,2,3,0
29,4,0,0
46,1,0,0
36,2,1,0
28,1,0,0
35,2,1,0
32,2,0,0
32,1,0,0
37,0,1,0
39,1,0,0
25,5,2,1
32,1,1,1
22,0,0,0
36,1,1,0
45,1,1,0
30,1,1,1
34,0,0,0
48,0,0,0
31,2,5,1
33,1,0,0
28,0,0,0
35,0,0,0
44,4,1,0
28,0,2,1
27,0,1,0
36,0,0,0
36,3,2,0
35,1,0,0
29,1,0,0
41,0,1,0
33,2,1,0
29,6,1,1
40,2,0,0
26,1,0,1
35,3,0,0
39,0,3,0
37,3,0,1
30,2,1,0
40,1,0,2
28,0,1,0
42,2,0,0
41,4,3,0
37,3,1,0
40,0,2,2
43,0,0,0
45,1,0,0
41,1,0,0
34,2,3,0
29,0,1,0
35,2,0,1
38,5,0,0
30,5,0,1
48,1,0,1
42,0,4,0
35,1,2,0
48,0,0,0
44,0,1,0
21,1,1,1
28,1,0,0
36,1,2,0
35,1,0,0
42,1,3,0
38,3,0,1
32,3,2,2
30,1,2,1
41,1,1,0
32,1,1,0
31,1,1,2
38,0,2,0
33,2,1,1
29,2,0,0
22,2,1,0
35,0,2,0
39,4,2,3
25,4,0,0
24,2,0,3
30,2,1,0
36,1,2,1
34,5,4,2
29,7,1,2
33,1,1,0
37,1,1,0
39,0,0,0
35,0,1,0
34,2,1,0
42,3,0,2
43,0,0,0
36,2,1,0
38,2,1,1
39,2,3,0
35,1,1,0
37,1,1,1
34,0,0,0
34,2,1,1
32,1,2,0
40,3,1,0
45,0,1,0
33,1,0,1
34,2,3,2
51,3,1,0
33,2,1,0
30,4,2,2
42,2,1,0
39,1,1,0
30,0,0,0
29,0,1,0
37,2,0,1
30,0,0,0
23,4,2,0
33,5,0,2
46,3,2,0
28,1,1,1
31,3,1,2
38,0,1,0
41,3,0,0
34,1,0,0
36,0,0,0
41,0,1,1
32,8,3,5
35,1,4,2
37,1,0,0
38,1,0,1
32,1,0,0
44,0,0,0
31,0,0,0
33,6,3,0
37,0,4,0
39,1,0,0
44,3,0,0
30,4,1,0
28,1,3,3
43,1,0,0
37,3,1,0
37,2,0,1
36,2,2,1
38,1,0,1
47,1,1,0
32,1,1,0
49,1,2,1
43,1,1,0
48,1,2,1
32,0,0,0
40,2,5,2
34,1,3,0
32,5,2,1
27,3,0,0
35,1,0,0
33,2,6,1
45,1,0,0
34,2,3,1
47,1,0,2
31,4,1,0
36,1,1,0
31,4,2,1
34,1,0,0
46,2,4,0
43,0,0,0
29,1,0,0
29,4,1,1
32,3,0,0
35,2,4,1
44,0,1,0
45,1,1,0
33,1,0,0
44,1,0,0
34,1,1,1
34,0,3,2
44,6,2,0
30,2,2,0
32,1,1,0
26,0,0,0
33,3,2,0
35,3,3,0
32,7,2,2
33,1,1,0
21,4,0,0
33,2,1,2
45,0,0,0
39,7,1,0
35,2,1,1
33,4,2,1
35,0,1,1
41,3,1,1
32,0,0,0
36,3,0,1
23,1,1,0
50,1,1,0
41,3,2,0
32,2,3,1
34,1,0,0
27,5,0,2
47,0,0,0
45,0,0,1
31,2,2,1
38,1,0,0
26,2,1,2
36,1,3,0
26,2,0,1
31,0,2,0
39,2,0,0
34,1,3,2
35,5,1,1
35,1,0,0
33,6,1,0
41,0,0,0
35,4,2,0
40,1,1,0
38,1,1,0
41,1,1,0
51,3,3,0
42,2,0,0
33,6,2,1
26,3,1,0
39,0,1,0
31,0,1,0
26,5,3,0
35,1,1,1
41,2,1,0
41,2,4,2
35,1,0,0
35,2,1,1
38,0,0,0
33,1,1,0
36,1,1,1
33,0,0,0
31,2,4,1
29,2,0,0
35,0,2,1
44,6,2,4
24,3,2,3
27,6,1,3
35,4,0,0
40,3,1,2
43,0,0,1
35,1,0,0
42,2,0,0
38,0,1,0
55,1,1,0
36,2,2,1
28,2,2,1
34,1,1,0
34,1,0,0
35,3,1,4
30,2,1,0
38,1,2,0
40,1,2,1
49,1,0,0
32,2,5,4
36,3,9,2
38,0,0,0
33,3,2,1
23,6,2,1
36,4,1,0
36,1,0,2
47,0,1,0
37,0,0,0
43,0,0,2
33,0,2,0
32,2,3,0
31,1,1,1
28,3,1,1
27,1,3,0
28,1,0,1
36,1,0,0
35,2,2,0
42,1,0,1
41,2,0,0
35,3,0,0
32,2,0,0
26,3,3,3
35,5,1,2
21,7,2,2
36,0,1,0
30,2,0,0
25,2,3,4
52,2,1,1
48,2,1,0
43,4,1,0
32,4,2,0
43,0,1,0
29,4,2,2
37,0,0,0
34,0,0,0
29,12,0,1
47,0,2,1
41,2,3,0
41,3,0,1
27,1,0,1
35,1,0,0
32,0,5,0
48,2,2,1
40,3,1,0
39,4,0,1
31,1,1,0
42,3,3,1
35,1,1,0
37,7,0,2
40,0,0,0
38,6,3,2
37,2,1,0
47,4,3,2
38,2,0,0
43,0,2,0
26,0,0,1
33,0,0,1
31,2,1,0
45,1,0,0
39,3,1,0
39,2,6,0
40,0,2,0
28,1,1,0
52,0,1,0
28,2,0,1
42,0,1,0
41,1,0,0
37,5,1,0
35,1,1,0
30,5,1,0
36,2,4,2
35,1,1,0
42,1,1,1
40,1,0,1
31,2,1,0
32,1,0,2
34,9,2,0
34,0,2,0
34,0,1,0
49,0,2,1
33,2,0,1
34,1,1,1
52,0,2,0
47,3,1,0
36,4,1,0
43,0,0,0
28,1,1,0
24,4,0,0
31,7,0,3
37,2,1,1
33,1,1,1
50,1,1,1
44,1,0,0
39,3,0,0
23,0,0,1
36,0,0,0
37,0,1,1
36,1,1,0
42,2,1,0
46,0,0,0
36,1,0,0
25,1,3,1
29,0,1,1
25,1,0,0
27,0,2,0
35,0,0,0
36,0,0,1
48,2,0,0
44,1,0,2
43,4,0,0
31,2,0,0
38,0,1,2
30,8,1,2
35,2,3,0
48,2,1,1
38,2,1,0
27,1,1,0
30,0,0,0
33,2,1,2
43,1,2,0
28,0,1,0
35,0,4,0
34,1,1,1
30,11,0,3
43,0,0,0
40,0,2,0
26,1,0,0
41,0,1,1
32,2,0,1
27,4,1,5
44,2,5,2
32,0,5,1
37,4,3,2
22,1,0,0
36,4,0,0
42,1,1,0
39,0,0,0
38,0,0,0
56,1,0,0
41,0,1,0
38,1,1,0
27,1,1,0
34,2,1,0
40,3,0,0
39,0,0,0
42,0,2,0
28,5,2,1
33,0,5,0
32,2,1,1
26,2,0,3
28,1,0,1
38,0,1,0
48,0,2,1
42,2,1,0
32,3,0,0
26,1,3,1
34,1,0,0
32,1,2,1
49,0,1,0
38,0,2,1
24,3,4,2
44,1,1,0
35,3,1,2
48,0,1,0
40,0,1,0
43,6,3,1
34,1,1,0
32,3,1,1
40,1,0,2
48,2,2,1
39,1,0,0
36,1,2,0
39,0,0,1
48,1,1,2
35,0,0,0
38,2,0,0
38,9,1,2
33,2,0,0
36,0,1,0
48,1,1,1
38,1,0,0
45,2,3,1
49,0,1,0
30,1,3,0
31,3,2,1
35,2,1,0
34,2,1,1
41,1,0,1
38,0,1,2
38,1,0,0
47,1,0,0
36,2,0,0
53,0,0,0
31,0,1,1
38,0,0,0
40,2,3,1
38,3,2,2
45,0,0,0
30,2,2,5
28,3,1,0
30,0,2,0
34,1,0,2
36,1,0,0
41,0,3,0
18,2,1,0
42,7,0,1
34,4,1,0
38,1,0,0
33,6,1,1
45,0,9,0
28,1,2,0
34,0,1,0
29,3,3,1
46,1,0,0
23,3,2,1
54,1,0,1
27,7,1,0
44,0,1,0
25,6,1,1
29,6,3,1
32,1,0,1
38,3,0,0
41,2,1,0
34,1,1,0
29,3,1,1
33,5,0,2
40,0,0,0
40,2,1,2
35,3,1,2
29,1,3,3
37,1,1,0
38,1,1,0
41,0,0,1
33,1,2,0
39,1,0,0
34,3,2,0
27,7,0,2
39,0,1,0
35,1,1,1
40,0,0,0
32,0,2,0
33,3,2,1
32,1,0,0
33,4,3,0
30,0,0,0
44,0,3,2
40,1,1,1
29,1,2,0
38,0,4,2
38,1,0,0
36,1,0,2
31,2,0,0
42,0,0,0
39,2,4,2
35,1,0,0
29,2,1,0
40,0,0,0
38,1,0,0
35,2,0,2
40,1,0,0
35,0,1,0
45,1,0,0
30,0,0,0
31,3,0,0
29,6,1,2
23,7,1,3
39,3,1,1
45,2,2,0
34,2,0,0
42,0,2,0
43,0,0,0
29,0,1,0
32,5,1,3
28,0,1,0
43,1,0,1
38,0,1,0
42,1,0,0
41,0,1,1
30,1,1,0
40,0,1,1
39,1,2,0
41,1,2,0
35,8,0,3
33,0,1,0
44,0,1,0
36,1,2,0
24,1,0,0
35,3,2,1
40,3,0,0
31,1,1,0
40,1,0,0
39,5,0,0
27,5,1,1
34,5,0,2
34,0,1,2
37,1,1,0
36,2,0,3
49,3,0,1
27,0,0,0
31,0,0,0
35,4,0,0
39,6,0,0
37,7,1,1
35,4,3,3
45,2,1,0
35,7,2,2
31,3,2,1
40,4,2,2
45,0,0,1
35,1,2,1
38,1,1,1
36,1,1,0
28,5,0,2
33,0,0,0
29,0,1,0
34,1,0,0
48,0,0,0
23,2,1,0
38,0,1,0
43,0,0,0
43,2,3,0
30,5,2,1
45,2,3,0
38,0,0,0
42,0,0,0
33,1,2,2
36,3,0,0
39,6,0,2
43,2,0,0
27,4,1,0
38,0,2,0
32,4,5,0
36,0,1,0
41,3,0,0
45,2,1,0
37,1,1,0
35,3,0,1
39,2,5,0
38,1,1,0
36,0,1,0
35,1,3,0
40,2,0,0
25,5,4,0
40,2,0,1
44,1,1,0
45,0,2,0
36,0,0,1
29,2,0,1
38,0,6,0
38,2,0,0
35,1,0,1
30,0,1,1
38,2,0,1
30,0,0,1
35,0,0,2
38,4,0,0
34,0,0,1
27,2,0,1
47,0,0,0
33,0,0,0
42,2,0,0
39,0,0,1
38,2,3,0
34,1,1,0
38,0,1,0
37,1,1,0
35,2,2,0
38,0,0,0
52,2,1,1
40,1,2,0
40,2,0,0
35,2,1,0
37,1,1,0
38,0,1,0
38,0,1,1
32,4,1,2
37,1,0,0
31,2,1,0
36,1,1,0
48,0,0,1
48,2,2,1
37,1,1,0
37,0,0,1
33,2,1,0
33,2,2,0
47,2,1,0
40,1,0,0
39,3,1,1
31,6,1,1
30,6,5,1
43,3,0,0
30,3,2,0
44,0,3,0
33,0,1,0
44,0,1,0
46,4,0,0
41,3,3,0
36,0,0,1
26,3,1,1
30,1,2,2
31,4,0,0
33,6,0,1
29,1,1,1
30,1,1,1
36,1,0,0
29,3,2,0
38,2,1,1
38,1,1,0
35,1,0,2
39,0,0,1
29,0,0,0
38,0,0,0
33,1,0,0
42,1,1,0
24,3,1,0
36,0,0,1
39,2,1,2
34,2,1,0
49,1,0,0
34,4,0,1
26,3,0,1
47,1,0,0
39,1,0,0
33,1,2,0
26,0,2,1
18,3,2,2
42,0,0,0
35,1,0,0
36,2,2,3
33,3,3,0
31,0,1,0
46,0,0,0
43,2,0,0
32,2,1,0
41,2,0,0
35,4,0,0
38,0,1,0
31,2,0,0
34,2,1,1
35,2,0,0
47,0,1,1
36,2,2,1
47,0,0,1
47,0,1,0
51,0,1,0
39,1,2,0
47,1,2,0
39,0,0,0
35,1,2,0
36,2,0,1
32,3,0,1
31,4,2,0
32,2,0,1
49,2,2,0
34,2,0,0
36,7,1,0
43,1,0,1
40,1,0,0
37,0,0,1
27,0,4,2
40,2,1,0
36,2,0,0
43,1,0,1
40,0,0,0
41,1,3,0
41,1,3,1
31,4,6,1
36,0,1,1
32,1,0,0
37,2,0,1
32,0,3,0
27,0,0,0
46,1,1,0
42,1,2,0
45,0,0,0
31,1,0,0
37,1,1,0
53,0,0,0
30,1,0,0
25,4,1,0
29,0,1,0
32,1,1,0
43,0,0,0
52,2,1,0
31,4,1,1
30,1,1,1
40,0,1,0
34,1,0,0
39,1,1,0
25,5,1,4
32,1,0,0
39,1,3,1
42,0,0,0
37,0,0,0
32,4,1,1
32,0,2,0
30,2,0,1
28,0,0,0
27,3,0,0
33,0,2,0
31,2,3,1
35,1,0,1
45,0,2,1
45,0,1,0
40,0,1,0
51,2,1,1
33,0,1,0
32,1,3,0
31,3,3,1
32,5,2,1
35,4,3,1
41,1,2,0
34,1,0,1
36,4,2,2
40,9,2,1
24,4,0,1
41,0,0,1
40,1,0,0
34,3,2,3
22,2,1,0
36,0,0,0
26,0,0,0
35,1,0,2
29,3,0,0
40,1,0,0
43,5,1,1
35,4,1,0
28,0,0,1
33,1,2,0
33,5,4,2
49,0,1,0
48,0,1,1
30,2,1,0
27,3,1,4
30,1,1,0
32,3,0,0
24,4,4,3
37,2,1,0
39,0,1,1
32,5,2,2
41,2,0,1
29,3,3,0
30,1,0,1
40,0,0,0
35,2,2,2
44,2,1,0
42,0,2,1
45,1,0,0
40,3,1,2
41,0,0,0
34,1,0,0
34,1,0,0
37,0,1,0
35,0,0,0
38,3,0,1
36,4,1,2
31,0,1,0
42,2,0,0
33,5,4,0
33,1,3,0
28,2,0,3
35,0,1,0
29,2,2,1
28,4,1,2
35,5,3,2
34,1,0,0
26,0,0,0
40,3,0,1
35,2,3,4
35,1,0,0
40,3,0,1
31,2,1,0
33,2,1,0
26,1,3,2
31,2,1,0
40,4,2,1
43,1,0,1
29,4,2,1
36,0,2,0
37,1,0,0
35,1,1,2
39,1,2,0
30,0,3,0
42,1,0,1
41,0,0,1
30,2,1,2
42,2,0,0
33,1,5,1
31,2,1,0
33,0,1,0
34,1,0,0
37,0,0,0
38,1,0,0
46,3,0,0
38,0,1,0
30,2,2,0
42,3,0,0
35,1,0,1
35,1,2,1
32,4,2,2
47,4,2,1
34,1,0,0
40,0,2,1
45,1,0,2
37,1,1,0
26,1,0,0
34,8,2,1
42,0,1,1
47,0,2,0
47,4,1,3
40,5,2,2
30,3,5,4
34,8,1,2
39,3,1,2
26,3,2,2
26,0,1,1
39,0,1,0
50,1,1,0
40,1,0,0
35,7,0,0
35,3,1,1
24,4,1,0
39,1,1,1
38,8,4,1
33,1,0,2
44,0,1,0
27,6,0,2
32,1,0,0
30,0,2,0
34,0,0,0
31,4,0,0
36,1,0,1
47,0,0,0
37,3,3,1
45,1,0,0
35,4,0,0
29,5,2,1
38,1,2,0
43,0,0,0
35,1,0,0
27,1,4,0
33,1,2,0
37,1,0,3
28,5,1,3
37,1,3,0
33,1,1,0
33,3,2,0
32,6,2,1
34,2,0,0
34,2,0,1
34,2,1,0
41,2,1,0
21,1,0,1
30,1,0,2
25,1,1,0
33,1,0,0
47,1,1,0
41,0,0,0
35,1,0,0
31,1,0,0
30,1,1,2
34,0,2,0
56,2,1,2
34,0,1,1
50,1,1,0
34,0,5,0
39,0,2,0
39,2,1,0
27,0,1,1
38,1,2,0
39,4,0,1
34,6,1,1
29,2,1,2
23,11,1,0
44,0,1,0
39,0,1,0
34,3,4,0
34,7,0,0
37,1,1,0
35,0,0,0
27,5,3,3
34,2,1,1
33,0,1,2
29,1,0,2
34,5,0,0
34,0,0,0
40,0,1,0
38,1,0,0
31,2,1,4
36,0,1,0
34,1,1,0
36,1,0,0
41,2,1,0
36,4,5,3
40,3,4,0
21,2,1,0
32,3,1,1
28,1,1,0
42,3,0,0
41,1,0,0
30,3,0,3
36,0,2,0
42,0,0,1
39,2,2,2
42,0,0,0
34,1,3,2
46,1,1,0
28,0,1,1
37,5,2,1
36,2,0,0
33,1,2,0
33,4,3,3
31,0,2,0
37,4,2,2
34,0,2,0
45,1,1,0
42,0,2,0
39,1,1,0
42,1,3,3
35,7,1,1
35,2,1,0
33,5,0,1
36,4,3,0
43,5,2,2
37,3,0,1
36,2,0,1
24,1,0,0
36,2,0,0
30,2,1,0
36,1,0,1
31,2,1,1
27,1,0,1
39,1,2,0
35,0,1,0
33,0,1,0
30,4,0,2
43,4,0,0
32,1,0,0
32,1,0,0
39,1,0,0
41,3,2,0
29,6,0,3
36,4,1,1
39,3,0,2
25,2,2,1
42,4,2,2
36,3,0,1
33,1,2,0
36,1,0,0
31,3,1,1
29,5,1,2
33,1,3,0
49,3,0,1
44,6,3,2
33,0,0,0
43,2,1,0
40,3,0,0
40,0,5,1
36,2,0,1
33,2,2,1
39,6,2,4
29,1,1,0
40,2,2,0
46,2,0,0
31,8,2,1
41,0,0,0
32,2,0,0
28,0,1,0
36,5,1,0
41,1,1,0
24,1,0,0
39,2,1,0
31,1,0,0
41,0,0,1
32,2,3,0
43,1,0,1
37,1,1,1
41,3,5,3
37,1,0,1
41,1,1,0
34,2,0,0
25,1,2,4
40,2,0,0
46,0,0,0
44,1,1,0
38,3,2,1
44,2,0,1
29,0,1,0
37,0,2,1
46,0,0,1
36,2,2,0
31,3,1,1
41,2,0,1
21,1,1,0
37,5,1,1
29,1,3,1
39,0,0,0
50,0,0,0
32,1,2,1
44,1,0,0
30,0,1,0
37,1,1,0
41,2,2,0
37,1,0,0
34,4,1,1
30,1,5,2
34,6,2,1
42,0,0,0
35,5,2,1
48,1,0,3
34,1,0,0
33,1,1,2
38,0,0,1
36,2,0,0
29,4,1,0
45,3,0,0
45,1,0,0
37,1,2,1
29,0,2,1
45,0,1,1
30,2,0,0
46,1,1,0
37,4,2,2
34,3,3,1
32,5,1,3
34,2,3,0
34,1,1,1
33,0,2,0
38,1,0,0
41,2,2,0
41,0,3,0
39,2,1,0
40,3,1,0
29,1,1,2
50,1,1,0
39,0,3,0
39,2,0,0
51,5,1,0
35,6,1,1
35,5,0,0
30,0,0,0
50,1,0,0
33,1,1,1
32,1,1,0
42,3,0,0
38,4,0,0
31,0,0,0
39,0,0,0
31,1,0,0
45,2,0,1
30,2,0,0
43,1,1,1
44,2,2,0
40,3,0,2
42,1,4,0
29,1,1,0
35,4,1,0
37,5,2,4
28,3,1,3
42,2,1,0
42,0,0,0
27,0,0,0
36,2,0,0
42,4,4,0
43,1,2,1
37,0,2,0
39,1,3,1
38,2,1,0
41,2,0,0
33,0,0,0
39,4,2,0
48,1,0,0
45,0,0,1
43,1,0,0
38,0,1,0
31,0,1,0
40,4,1,1
33,3,1,0
36,2,0,0
38,0,1,0
34,7,2,2
42,0,1,0
41,3,0,0
39,1,0,0
30,2,1,0
31,2,0,0
46,2,0,0
40,3,2,2
29,0,1,0
26,2,1,0
34,1,1,0
29,8,0,0
31,0,0,0
30,2,0,0
32,1,2,1
54,2,2,0
28,0,0,0
32,1,1,0
45,4,1,0
32,2,2,1
36,3,0,0
51,2,1,1
39,3,1,1
27,0,1,2
47,2,0,0
37,1,0,0
42,2,0,0
32,4,0,0
43,0,0,0
45,2,2,0
33,0,0,0
39,1,0,1
35,4,1,2
42,2,3,2
33,1,1,0
34,2,1,0
46,2,0,0
41,2,1,1
30,3,2,0
40,0,1,1
33,1,1,0
28,4,3,1
34,0,4,0
42,1,0,1
36,1,0,1
31,4,1,0
39,0,1,0
28,0,3,2
38,1,3,0
47,3,1,0
30,1,1,1
36,2,1,1
38,0,1,0
47,1,0,1
27,2,0,1
30,4,0,2
34,2,2,2
38,1,2,1
33,0,1,0
36,2,1,1
39,1,0,0
43,0,0,0
36,3,2,3
34,0,0,0
42,0,0,0
42,0,0,0
33,3,2,1
34,2,0,0
40,1,0,0
52,0,0,1
35,2,1,0
34,1,2,0
32,3,2,0
32,2,2,0
40,1,0,1
35,5,0,0
47,0,1,0
35,4,1,0
30,3,0,0
39,0,1,0
38,1,0,1
46,0,1,0
35,3,0,1
47,0,3,0
36,0,2,2
38,0,1,0
42,1,1,1
49,0,1,0
42,1,1,0
31,2,3,1
37,1,0,0
26,2,2,1
37,2,0,0
34,2,1,0
34,1,2,0
39,1,4,3
28,0,0,0
46,2,0,1
26,7,1,0
37,1,0,3
38,0,2,1
32,1,0,1
36,5,0,1
44,2,1,0
41,0,0,0
46,0,2,0
40,0,0,0
49,1,0,0
26,1,8,0
42,0,1,2
33,9,0,0
30,2,2,1
38,3,0,1
35,0,1,0
36,8,0,0
45,1,0,0
30,1,1,0
29,1,0,0
39,0,4,1
39,0,1,0
40,0,0,2
54,0,0,0
26,0,0,1
35,4,0,0
48,1,4,0
44,0,0,1
36,1,0,0
35,2,0,0
36,1,0,0
28,2,1,1
46,2,1,0
42,0,1,0
36,2,2,0
36,0,0,0
39,0,1,0
36,1,3,0
46,1,2,1
36,4,4,3
29,4,2,1
33,0,1,0
30,13,0,3
39,0,0,0
31,4,2,3
40,0,0,0
36,1,2,0
30,3,0,0
36,4,2,1
31,0,1,0
52,0,3,0
29,2,1,1
23,0,0,0
37,1,0,0
45,1,2,0
41,0,0,0
27,0,4,0
44,1,1,0
39,3,0,1
28,4,0,0
36,4,0,1
