Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
25,1,1,0
45,0,4,0
36,1,2,0
56,0,0,0
38,1,2,0
34,1,2,0
37,2,1,0
40,0,3,0
33,1,0,0
39,1,1,0
40,0,3,0
27,3,5,0
37,0,1,0
40,1,0,0
46,2,2,0
35,2,0,1
38,2,6,0
38,0,3,0
47,1,1,0
35,2,6,2
41,2,2,0
30,1,1,0
45,2,2,0
35,1,2,0
44,0,0,0
39,1,1,0
35,1,10,3
42,0,2,0
39,0,2,0
30,2,6,1
42,0,1,0
45,0,1,0
29,0,0,0
26,1,8,2
42,0,0,1
38,0,1,0
39,1,1,0
37,0,1,0
41,0,0,0
33,0,3,0
31,0,1,0
57,1,2,0
27,0,3,0
30,2,0,0
34,1,0,0
37,0,4,2
38,2,4,0
36,0,0,0
38,0,2,0
45,2,2,0
35,1,2,0
50,1,4,0
36,1,4,1
58,1,1,0
21,0,10,1
35,0,4,2
31,2,0,0
42,1,0,0
44,0,1,0
22,0,2,0
24,0,4,0
37,2,6,1
48,0,1,0
40,0,2,0
32,1,3,0
39,0,1,0
44,2,3,0
41,2,3,1
44,2,1,0
36,0,2,0
40,0,0,0
34,0,1,0
39,3,4,1
47,0,2,0
32,1,0,0
25,0,1,1
32,2,0,0
39,1,4,0
27,1,6,0
37,4,3,1
37,1,3,0
52,0,2,0
32,0,0,0
37,0,1,1
43,0,0,1
32,3,0,2
34,1,1,0
25,2,3,0
42,1,2,0
39,0,0,0
35,1,4,0
46,1,4,1
41,0,2,0
34,3,2,0
18,0,2,0
43,0,0,0
46,0,1,0
29,0,2,1
51,0,0,0
42,0,0,0
41,0,2,0
30,1,0,0
38,1,1,0
41,1,1,0
45,0,1,0
42,0,1,0
39,1,4,0
39,0,1,0
32,0,1,0
33,0,8,1
33,1,2,0
30,0,0,0
35,0,1,0
27,0,1,0
41,0,5,0
29,2,5,3
41,0,0,1
38,1,0,1
38,1,1,0
39,3,2,0
46,1,5,1
36,1,5,0
36,1,2,0
37,1,4,0
44,1,0,0
32,0,1,0
33,0,0,0
34,1,3,0
50,0,3,0
40,0,1,1
30,2,0,0
36,2,1,0
45,1,1,0
39,2,2,0
40,0,2,0
28,1,7,0
35,1,0,0
27,0,2,0
42,0,3,1
42,0,2,0
33,3,0,1
35,1,2,0
28,3,2,0
40,1,1,0
40,2,8,0
35,2,0,1
33,3,0,0
31,1,6,4
33,1,3,0
47,1,1,0
38,1,2,0
40,0,0,0
45,0,0,0
26,1,2,0
35,2,3,1
45,0,3,1
34,1,0,0
36,1,5,4
32,2,5,0
39,1,1,0
33,0,2,0
46,1,3,0
38,1,1,0
33,1,3,0
38,0,0,0
36,1,3,1
35,0,4,0
37,4,0,0
42,0,0,1
40,3,2,1
37,1,0,0
35,0,2,0
30,2,1,0
25,2,3,0
30,2,0,0
26,0,1,0
39,3,2,2
31,4,1,1
43,1,0,1
36,0,2,0
34,1,4,0
32,1,4,1
34,0,0,0
33,0,1,0
30,1,9,1
43,2,2,0
50,0,1,0
26,0,3,0
41,0,0,0
40,0,3,0
35,2,2,0
40,3,0,0
39,0,9,3
47,1,1,0
36,1,1,0
40,2,4,1
41,2,1,0
32,0,0,0
26,0,2,0
41,1,6,0
43,1,3,0
38,0,1,0
35,0,3,0
43,1,2,0
54,3,0,0
32,1,1,0
37,0,1,1
32,1,1,0
32,0,7,2
33,1,1,0
41,1,0,0
39,3,0,0
42,2,3,0
43,0,0,1
37,1,3,0
45,0,3,0
34,0,1,1
39,1,5,0
30,0,3,0
25,2,2,0
42,1,1,0
37,0,1,0
44,0,1,1
48,0,0,0
34,1,2,0
44,0,1,0
45,2,1,0
40,0,0,0
29,0,0,0
29,1,2,0
48,0,2,0
28,1,1,0
39,2,2,1
33,0,1,0
30,0,2,0
39,1,2,1
36,0,2,0
33,0,4,1
40,0,1,0
28,0,6,0
33,1,1,0
37,3,5,2
31,0,3,1
41,0,1,0
38,0,1,0
37,1,6,2
31,1,0,0
31,0,5,0
37,2,4,1
41,0,0,0
37,1,1,0
33,0,2,0
37,0,1,0
40,2,1,1
36,0,2,0
47,0,0,0
43,0,0,0
42,0,1,1
27,1,0,0
30,1,4,0
38,1,2,0
44,2,1,0
25,2,3,0
34,2,3,0
34,1,2,0
34,0,2,0
29,1,0,1
43,2,1,0
30,0,2,1
30,0,1,0
31,1,8,1
34,3,3,1
41,0,1,0
49,3,1,0
39,1,0,1
30,1,5,1
35,1,3,0
43,0,1,0
41,1,4,0
35,0,2,0
50,1,1,0
42,2,1,0
35,0,2,0
40,0,3,0
45,2,0,0
41,1,4,1
30,2,4,2
44,1,1,0
38,0,1,0
41,1,3,1
35,1,0,1
55,1,0,0
36,0,0,0
41,0,1,0
47,0,0,0
33,0,1,0
28,2,2,0
31,0,0,0
31,1,4,0
28,1,3,1
29,0,2,0
39,1,1,1
33,0,3,0
36,1,4,0
25,3,3,0
40,0,2,0
32,0,0,0
37,1,1,0
34,2,0,1
29,0,1,0
41,1,1,0
34,0,3,1
46,0,3,0
38,1,5,0
24,1,5,0
33,2,0,0
46,0,0,1
35,0,3,1
39,2,5,0
44,1,0,0
36,3,3,0
34,0,11,0
32,0,1,0
36,0,1,0
31,2,2,0
51,0,4,0
39,1,0,0
35,1,1,1
39,0,0,1
43,1,0,0
37,0,0,0
31,4,0,0
35,1,2,0
42,1,3,0
22,2,0,0
31,0,8,1
38,0,1,0
39,2,2,0
34,0,6,0
30,0,1,0
33,0,2,0
33,0,0,0
51,0,1,0
41,1,2,0
32,1,2,0
29,1,3,0
28,4,11,1
43,0,5,1
42,2,1,0
32,0,0,0
34,1,3,1
31,3,3,0
35,0,5,0
29,1,3,0
41,0,0,0
30,0,7,2
30,0,4,0
30,0,0,1
44,1,0,0
45,0,2,0
36,0,0,0
37,1,0,0
42,0,0,1
43,0,2,0
36,0,2,0
24,1,3,0
39,1,0,0
38,1,2,1
55,0,2,0
37,0,2,1
32,1,2,0
32,0,2,0
41,1,3,0
43,1,1,0
24,3,4,0
38,1,1,0
31,0,5,0
32,0,2,0
36,2,1,1
40,1,4,3
39,1,1,0
30,0,0,0
28,2,0,0
36,1,2,0
46,0,0,0
47,0,0,0
31,1,1,1
33,1,1,0
35,1,1,0
37,1,0,0
40,1,3,0
41,2,0,1
42,1,1,2
45,0,5,1
35,1,2,0
42,3,3,0
30,3,2,0
31,0,3,0
38,1,2,0
50,0,3,0
33,0,1,0
40,0,0,1
29,0,1,0
29,1,5,2
34,1,1,0
42,0,2,1
43,0,3,1
36,1,3,1
31,0,1,0
42,1,2,0
32,0,2,0
44,1,1,0
39,0,2,0
40,1,7,1
49,1,1,0
31,1,2,0
41,3,0,0
30,2,2,0
39,0,0,0
34,2,3,0
25,1,4,1
36,1,1,1
40,1,2,0
39,0,0,0
29,1,0,0
27,0,0,0
39,2,1,0
39,1,2,0
30,0,0,0
26,4,5,1
47,0,1,2
39,0,4,1
35,1,3,0
36,1,0,0
31,2,7,1
29,5,2,0
29,0,3,1
41,0,2,0
33,1,0,0
24,1,10,1
37,0,3,1
39,0,1,1
39,1,4,0
36,3,2,1
28,1,0,0
36,0,2,0
34,0,0,0
37,0,2,0
44,0,0,0
41,2,2,0
42,1,1,0
44,0,1,1
32,0,1,0
39,0,4,0
31,3,3,0
42,1,1,1
29,1,2,0
45,2,2,0
38,0,3,0
31,0,4,0
36,0,1,0
27,1,1,0
34,0,4,0
38,2,1,0
27,0,0,0
38,0,1,0
38,2,2,0
28,3,2,1
36,3,8,2
38,2,2,0
41,1,1,0
53,0,2,0
34,3,1,0
30,1,7,0
38,1,0,0
37,2,1,0
36,0,5,0
30,0,1,0
45,0,0,0
48,1,1,0
37,0,1,0
44,2,5,0
29,1,4,0
35,2,1,0
39,0,4,1
39,0,0,0
36,1,1,0
28,4,3,2
50,2,1,1
40,0,3,0
52,1,0,0
28,0,2,0
45,0,3,0
39,2,0,1
41,0,0,0
37,2,10,0
38,2,1,0
42,2,1,0
39,2,0,0
28,2,0,0
48,0,1,0
30,0,12,0
33,2,1,0
46,0,1,0
38,0,0,0
36,1,1,0
28,1,1,0
50,1,1,0
35,3,1,0
31,1,5,0
32,2,2,0
37,0,2,1
33,1,0,0
27,0,1,0
35,0,5,0
38,1,1,0
38,0,0,0
40,1,2,0
44,0,6,0
40,1,1,0
33,0,3,1
34,1,1,0
32,1,0,0
35,1,2,0
38,0,1,0
30,2,1,0
26,0,5,0
32,0,0,0
44,3,3,0
38,2,0,0
35,0,1,0
26,2,2,0
36,0,1,1
49,3,1,0
35,0,3,0
38,1,0,0
39,0,4,0
29,0,2,1
39,1,0,0
33,2,2,0
38,2,6,2
30,0,0,0
42,2,3,0
35,3,1,1
37,2,2,2
43,0,2,0
28,1,7,0
44,0,3,0
36,0,0,0
36,1,4,0
32,2,0,0
36,0,1,0
35,1,3,0
34,1,0,0
33,0,2,0
28,2,1,2
33,0,1,0
43,0,1,0
41,1,1,0
38,2,1,0
27,2,3,0
37,1,1,0
29,1,9,0
35,0,0,0
33,0,10,2
45,1,2,0
38,1,1,0
29,0,2,0
32,0,0,0
41,0,1,0
39,0,0,0
37,1,7,2
36,2,2,0
41,1,1,0
39,0,0,0
34,1,3,0
35,3,4,0
29,0,3,0
37,0,1,0
38,1,0,0
37,1,4,0
22,1,4,3
33,2,1,0
37,0,1,0
43,2,1,0
35,0,2,1
43,0,0,1
39,1,0,0
45,0,0,0
22,0,6,1
35,3,5,2
41,0,0,0
43,0,2,0
27,0,1,0
32,0,2,0
32,0,0,0
29,0,1,0
36,0,0,0
30,0,0,0
34,0,0,0
39,0,1,0
32,0,0,0
33,1,1,0
38,0,2,0
26,3,4,1
27,0,1,0
41,1,0,0
30,1,1,0
35,0,1,0
46,2,1,0
32,0,1,1
46,1,2,0
28,2,2,0
36,5,1,0
44,1,1,0
36,2,0,0
30,1,5,0
34,0,2,0
33,2,0,3
32,1,4,0
45,1,0,1
30,1,4,0
35,0,2,0
33,0,1,0
40,2,3,0
28,0,5,1
45,1,2,0
41,0,6,0
39,0,2,0
32,0,1,0
34,1,7,0
38,0,0,0
30,2,2,0
24,0,1,0
50,0,2,0
34,2,0,2
44,1,1,0
28,2,17,1
44,1,0,0
53,2,1,0
42,2,2,0
30,3,5,1
46,2,0,0
33,0,2,0
42,0,0,2
34,0,0,1
39,1,4,0
31,1,0,0
41,1,3,1
37,2,1,0
42,2,2,1
45,1,2,0
28,0,1,2
36,2,0,2
38,1,3,0
42,2,0,0
28,2,11,4
40,0,1,0
48,0,2,0
28,0,4,0
31,1,1,0
35,3,0,0
37,0,0,0
31,0,0,0
51,1,4,0
44,0,1,0
48,1,2,0
42,0,3,1
38,0,1,0
31,1,11,2
39,1,2,1
36,1,1,0
37,0,0,0
35,4,8,0
45,0,1,1
25,0,0,0
38,0,0,0
42,1,2,0
34,0,3,1
41,0,2,0
46,0,3,0
36,1,0,0
41,2,1,0
44,0,2,0
33,0,3,1
22,4,5,0
41,2,4,0
46,0,2,0
33,0,1,0
39,0,1,0
43,0,2,1
39,1,3,2
39,1,2,0
36,0,0,1
32,0,0,1
40,2,1,1
42,0,3,0
43,1,3,0
46,0,0,0
40,0,1,0
43,0,2,0
21,0,4,2
27,1,1,0
40,0,0,0
40,0,1,0
34,2,1,1
30,0,3,1
40,0,0,0
29,5,7,2
45,0,1,0
31,3,2,0
46,0,2,0
53,3,2,0
39,1,1,0
35,0,0,0
31,1,1,0
43,0,0,0
34,2,7,2
41,2,4,0
44,1,2,1
33,1,7,3
39,0,1,1
40,1,3,0
44,3,2,0
35,0,2,1
29,0,1,1
40,3,0,0
40,0,1,0
34,1,2,0
41,1,2,0
41,0,3,1
36,1,0,0
29,2,1,1
30,0,0,1
37,0,1,0
48,0,0,0
37,1,1,0
42,0,1,0
39,3,1,0
29,1,1,1
46,0,1,0
38,2,5,0
46,1,2,0
40,0,4,0
40,0,1,0
34,1,1,0
33,1,2,0
33,5,0,0
31,3,2,1
33,1,3,0
42,0,4,1
33,1,2,0
48,1,2,0
33,1,4,1
39,2,4,0
30,0,2,1
47,2,2,0
42,0,6,0
37,3,0,1
40,1,1,1
39,0,2,0
41,1,1,0
41,0,2,1
34,0,0,0
40,0,0,0
37,1,6,1
38,2,1,0
45,2,1,0
36,2,6,1
44,1,0,0
35,1,0,0
39,1,2,0
36,0,0,0
43,0,1,0
36,1,2,1
42,1,0,0
31,0,3,0
24,3,0,1
61,0,2,0
38,0,1,0
37,0,1,0
42,1,1,0
33,1,4,0
42,2,2,0
29,0,5,0
34,1,4,4
44,0,2,1
33,1,1,1
40,4,1,0
38,1,1,0
45,1,1,0
41,2,1,0
32,1,4,1
36,3,1,0
37,1,1,0
49,0,2,0
35,0,1,0
39,1,1,0
40,2,3,0
35,1,3,0
39,0,2,0
30,0,1,0
45,2,2,0
47,0,4,0
34,1,1,1
35,1,2,0
45,1,2,0
35,0,3,1
34,2,10,1
35,0,1,0
38,1,4,0
39,0,3,1
30,1,0,0
41,0,2,0
32,0,3,0
39,2,0,0
32,3,0,0
39,2,2,0
41,1,0,0
31,1,5,0
34,1,2,2
35,0,1,0
34,2,3,0
35,0,1,0
36,2,2,0
40,0,1,0
29,0,1,0
32,1,0,0
36,1,2,0
32,1,1,2
44,0,1,0
42,2,1,0
34,1,3,0
38,0,0,0
28,5,8,0
31,4,0,0
43,2,2,0
32,0,1,0
29,1,1,0
32,0,1,0
42,0,5,0
38,4,0,2
46,0,2,0
26,1,1,0
31,1,6,0
39,2,2,0
24,0,6,0
41,1,3,0
29,1,0,0
41,0,1,0
46,1,0,0
37,0,3,0
31,0,1,1
43,1,0,0
41,2,0,1
31,0,2,1
40,0,1,0
40,1,0,0
43,1,3,0
35,1,3,0
32,0,1,0
35,0,1,0
52,1,1,1
39,1,2,0
32,1,4,1
31,0,1,0
38,4,2,0
26,1,3,0
41,0,0,0
41,1,2,0
34,0,1,1
24,1,1,0
31,0,1,0
27,0,2,1
41,3,1,0
40,3,0,0
37,2,3,1
38,0,3,0
26,2,1,2
30,0,0,0
51,0,0,1
31,0,1,1
27,1,4,0
41,1,3,0
24,1,7,1
32,2,1,0
36,3,1,0
38,0,0,0
39,0,1,0
33,1,2,0
35,0,2,0
31,0,1,1
43,2,0,0
47,0,6,3
34,0,2,0
46,1,1,0
35,0,0,1
45,0,2,0
44,0,2,1
42,3,1,0
32,0,1,0
26,2,4,0
40,0,0,0
46,1,0,0
38,1,1,0
52,0,0,0
54,0,0,1
24,1,5,1
38,1,3,0
31,0,0,0
39,1,1,1
38,2,2,0
49,0,4,0
35,2,3,0
35,0,2,3
39,3,0,1
39,0,0,0
33,2,2,0
27,0,2,1
38,0,3,0
40,1,4,2
45,0,2,0
33,0,2,0
38,1,3,0
37,2,0,0
48,2,5,0
41,0,3,0
30,0,1,1
38,0,1,1
30,2,0,0
32,1,4,1
26,0,5,0
38,0,3,1
31,1,1,0
32,1,0,1
40,0,4,0
45,0,2,1
32,2,1,1
45,0,2,0
32,0,4,1
34,0,2,0
42,1,3,1
36,0,0,0
37,1,2,0
35,1,1,0
54,2,1,1
39,1,1,0
25,2,5,0
32,2,0,0
38,0,1,0
38,2,3,1
43,0,0,0
38,0,2,1
46,2,1,0
41,0,7,0
34,1,2,0
37,2,2,0
42,0,1,0
41,2,2,0
43,1,0,0
34,1,9,0
36,2,2,0
37,0,0,0
29,1,2,0
30,1,0,0
33,0,2,0
43,0,2,0
31,1,3,1
45,0,1,0
46,0,0,0
39,0,1,0
47,2,0,0
32,0,6,0
44,0,0,0
27,0,0,0
33,0,1,0
28,3,7,2
39,1,4,1
36,2,3,0
43,1,1,0
38,0,8,1
31,0,0,2
45,1,0,1
32,0,0,1
37,0,3,0
30,2,1,0
44,0,3,1
43,2,1,1
46,0,0,0
31,1,0,0
27,2,4,0
41,2,7,0
25,1,1,1
36,0,0,1
29,1,1,0
44,0,0,0
35,0,0,0
38,0,1,1
24,1,4,0
52,0,1,0
27,1,3,0
41,0,2,0
45,2,0,0
40,1,2,0
39,0,2,0
47,0,2,0
40,2,0,1
38,0,3,1
28,0,1,0
28,1,8,1
42,1,1,1
32,2,3,0
39,0,2,0
38,1,0,0
38,0,2,1
25,3,3,1
32,2,0,1
54,1,1,0
47,2,0,0
41,1,2,0
35,0,0,0
37,1,2,0
43,0,1,0
27,1,1,0
44,1,0,1
38,3,2,1
35,2,2,0
29,1,6,0
40,1,3,0
34,0,2,0
24,0,2,1
33,0,1,1
38,2,3,2
40,0,0,0
32,1,5,1
26,2,5,2
35,1,2,1
43,1,0,0
27,0,2,0
38,0,3,0
37,2,0,0
36,1,2,0
39,0,1,0
37,1,1,1
33,0,1,2
37,2,1,1
19,0,11,0
37,2,1,0
25,0,3,0
45,1,2,0
43,1,1,0
35,1,6,0
37,0,9,1
30,1,3,0
26,1,4,1
40,2,2,1
30,2,6,1
38,1,1,0
36,0,2,0
37,0,2,0
32,2,0,0
32,1,0,0
44,0,2,1
51,1,3,1
45,1,3,0
39,1,5,1
41,1,1,0
27,3,1,0
28,2,3,0
50,1,1,1
31,1,3,1
28,2,1,0
44,0,2,0
34,0,2,0
30,0,1,0
30,0,2,0
38,0,0,0
42,0,1,0
30,1,1,0
38,2,0,0
37,1,9,2
30,1,2,0
37,1,0,0
39,1,2,0
39,1,5,0
29,0,2,0
36,1,2,0
56,0,1,1
42,0,1,1
42,0,0,0
42,0,0,1
32,0,3,0
26,2,1,0
38,0,2,0
38,0,5,0
40,1,3,0
51,0,3,1
48,1,1,0
33,1,7,0
46,0,1,0
31,1,2,0
26,0,3,0
60,0,1,0
40,0,0,0
29,1,1,0
34,1,7,0
33,1,2,0
37,1,2,1
38,1,1,0
33,0,0,0
31,1,4,2
40,1,1,0
27,2,1,0
34,0,2,0
38,1,4,0
42,3,3,0
28,1,1,0
34,2,5,0
42,1,1,0
31,1,0,0
40,0,2,0
37,1,0,0
29,1,1,0
48,2,1,1
45,0,4,0
26,1,4,2
34,0,1,0
42,1,1,1
33,2,3,1
37,0,2,1
32,2,6,1
31,1,3,1
42,4,1,0
36,0,2,0
41,2,0,1
34,0,1,0
48,0,4,2
35,0,3,0
38,0,0,0
44,0,4,0
44,0,1,0
36,1,0,0
40,1,4,0
31,0,1,0
41,0,1,0
34,1,1,1
34,1,0,0
40,0,1,0
42,0,2,0
31,0,11,1
29,1,6,1
43,1,0,0
43,0,6,0
39,1,2,0
33,3,1,1
44,1,3,0
47,1,1,0
28,1,0,0
29,3,5,0
35,1,0,1
32,0,6,0
37,1,0,0
42,1,6,1
31,4,6,0
35,0,0,0
40,0,2,0
43,1,1,0
38,1,1,0
43,1,5,2
34,0,3,2
40,0,2,0
33,3,3,1
39,3,7,0
34,0,0,0
51,1,1,0
30,0,1,1
40,3,3,1
28,0,5,0
51,0,0,0
41,0,0,0
46,1,2,0
44,1,3,0
32,1,1,1
37,0,1,0
35,0,0,1
40,0,2,0
35,1,7,0
42,1,1,0
40,1,4,1
35,0,0,0
38,0,0,0
51,1,1,0
45,0,1,0
40,2,1,0
35,0,1,0
26,3,2,1
33,2,2,0
31,0,1,0
42,2,2,0
54,3,1,0
31,1,1,0
34,0,2,1
27,0,3,2
43,1,5,0
35,0,2,0
34,3,5,1
38,0,1,0
28,1,1,0
43,3,2,0
35,0,4,0
41,0,0,0
42,0,1,0
44,2,2,1
40,1,0,1
40,0,0,0
31,1,3,0
42,0,0,0
33,2,9,0
29,2,2,0
40,0,1,0
37,1,1,0
25,1,0,1
30,1,1,0
31,1,2,0
33,0,2,0
38,0,1,0
35,3,3,1
30,0,1,0
34,0,1,0
30,1,3,0
32,2,6,1
36,0,9,0
29,0,8,0
28,1,1,0
35,0,2,0
42,0,0,0
39,0,0,0
45,1,2,0
31,1,3,0
40,1,1,1
39,1,2,0
28,1,3,1
34,0,1,0
38,0,2,0
45,0,3,0
45,0,0,0
33,3,2,0
30,0,3,1
31,4,8,3
39,1,0,0
36,1,1,0
32,1,0,1
35,2,0,0
35,2,8,0
35,1,3,1
32,0,0,2
30,1,1,1
33,2,8,1
31,0,1,0
48,0,2,0
26,0,1,1
34,0,0,1
36,0,0,0
25,1,2,1
32,1,2,0
46,0,1,0
35,1,1,0
36,1,3,1
36,0,1,0
35,0,0,1
48,0,0,0
34,2,3,1
37,2,3,3
41,0,2,0
54,1,1,0
43,1,0,1
37,1,1,0
29,0,3,1
52,1,1,0
43,3,1,0
33,0,16,0
42,1,5,0
33,1,1,1
32,1,1,1
46,0,1,1
40,0,5,1
33,0,2,0
37,1,0,0
41,0,0,1
31,0,1,0
39,1,0,0
49,1,2,0
45,1,0,0
44,1,1,0
45,1,0,0
41,0,1,0
34,0,3,3
48,1,1,0
40,0,0,1
25,1,1,0
39,2,1,1
54,2,0,0
36,0,6,1
50,0,1,0
36,1,2,0
29,0,5,0
39,0,1,1
36,0,1,0
29,0,6,0
40,1,0,0
34,2,1,0
35,0,4,1
41,0,2,1
40,0,4,0
40,2,1,0
33,1,2,0
38,3,3,0
42,0,1,0
26,1,2,2
37,0,0,0
50,0,2,1
34,0,0,0
32,2,3,0
36,4,1,0
43,0,4,0
45,0,0,0
43,1,0,0
42,0,1,1
36,1,1,0
39,0,0,1
31,1,1,0
36,1,1,0
36,1,0,0
36,0,1,0
44,0,5,0
36,0,0,0
40,1,1,1
46,1,1,0
40,0,0,0
38,0,1,0
40,0,0,0
34,1,0,0
36,0,1,0
31,0,0,0
46,0,1,0
39,0,4,0
30,0,8,0
30,0,4,0
33,0,5,1
41,4,2,1
32,1,3,0
27,1,4,2
30,3,1,0
24,0,2,0
55,2,1,0
46,0,2,0
42,4,1,0
49,0,1,0
52,1,0,1
36,1,2,0
38,2,2,0
32,1,2,0
31,2,3,0
38,0,1,0
45,2,2,0
48,0,3,0
30,3,1,1
54,1,3,0
29,7,5,0
32,1,2,0
34,0,9,1
41,1,3,3
39,0,13,3
39,0,0,0
29,1,5,2
29,2,2,0
49,0,0,1
33,0,0,0
46,0,1,0
32,4,2,1
40,0,2,0
41,0,1,0
33,0,2,0
44,0,2,1
31,1,1,0
35,0,2,1
40,0,2,0
33,2,2,0
60,0,2,0
40,2,1,0
30,0,9,0
35,1,0,0
44,0,1,0
38,0,1,1
40,1,3,0
35,0,2,0
42,1,2,0
45,1,3,0
31,1,1,0
29,0,1,0
44,0,0,0
44,0,1,0
42,1,2,0
33,1,0,0
35,2,0,0
30,0,1,0
39,0,2,0
39,2,1,0
40,1,0,1
39,1,3,0
32,1,0,0
27,2,3,0
36,2,3,0
42,2,1,0
37,0,3,1
41,0,1,0
38,2,0,1
43,1,0,0
41,0,1,0
33,0,1,0
38,0,1,0
37,2,4,3
42,1,1,0
44,1,0,0
35,1,3,0
34,0,4,2
42,1,0,0
32,2,0,0
41,0,1,0
49,0,0,0
46,2,1,0
42,1,4,1
34,2,0,0
47,0,1,0
36,0,2,0
34,2,9,2
44,2,5,0
27,2,1,0
35,0,0,0
36,0,1,0
27,1,2,0
31,1,5,2
36,1,1,0
28,0,1,0
57,1,2,0
44,2,2,0
35,1,7,2
47,0,0,0
48,1,3,0
36,1,1,0
37,0,0,1
32,1,1,0
40,1,2,0
33,1,0,0
32,2,0,0
23,3,11,0
41,1,0,0
52,1,0,0
29,0,2,1
40,1,2,1
41,0,3,1
35,2,3,0
34,0,0,0
36,0,2,0
30,1,1,0
26,1,3,0
26,0,1,0
49,0,2,0
35,0,1,0
48,0,1,0
29,3,1,1
35,0,0,1
32,5,4,0
40,0,1,0
45,2,0,0
41,0,0,0
38,0,0,0
43,0,2,0
31,0,7,1
38,1,0,1
38,1,0,0
37,1,3,0
36,0,1,0
33,1,2,0
33,5,2,0
26,0,2,0
46,0,0,0
39,0,1,0
29,0,2,0
28,0,3,1
33,1,2,2
39,0,1,0
32,1,4,0
29,0,1,1
45,0,3,0
31,2,3,0
43,1,1,0
38,0,0,0
37,2,2,0
44,0,2,0
37,0,0,0
46,1,2,0
25,4,3,0
27,0,7,1
45,0,1,1
37,1,1,0
36,2,2,0
36,0,3,0
37,2,0,0
37,2,1,0
27,0,0,0
47,0,0,0
31,2,6,1
48,1,0,1
45,1,1,0
42,1,0,0
42,2,0,0
32,0,1,0
40,1,0,0
30,0,3,0
32,0,5,1
35,5,2,0
24,1,3,1
42,1,3,0
27,2,5,0
49,0,5,0
36,1,3,0
33,1,0,1
